stock,avg_price,price,qty,P/L%
amzn,3251.52,3247.33,0.763358779,-0.12886280877866252
spce,23.4981,23.509999999999998,108.3658445,0.05064239236363122
dkng,49.3319,48.94,103.1353145,-0.7944149728674521
v,225.69,224.05,10.86909291,-0.7266604634675877
coin,258.44,249.33,20.03445868,-3.5249961306299316
gme,180.47,175.82,28.9017341,-2.576605530004994
amc,37.3,36.82,135.6852159,-1.2868632707774719
aal,20.225,20.29,125.125128,0.32138442521629784
mgm,44.77,48.69,112.7395755,8.755863301317834
spot,233.34,235.30000000000004,21.37939926,0.8399760006857049
pltr,23.54,23.69,107.4806524,0.6372132540356956
pfe,42.07,41.85,117.785628,-0.5229379605419471
gm,58.1801,58.96,85.04847631,1.3404927114253784
